,TUCASEID,TULINENO,TEAGE,TESEX
522,20140111131147,2,49,1
523,20140111131166,1,22,1
524,20140111131166,2,55,1
525,20140111131166,3,50,2
526,20140111131166,4,4,1
527,20140111131167,1,77,2
528,20140111131177,1,26,1
529,20140111131177,2,31,2
530,20140111131177,3,5,2
531,20140111131177,4,4,2
532,20140111131177,5,1,1
533,20140111131184,1,69,2
534,20140111131205,1,48,1
535,20140111131205,2,5,1
536,20140111131221,1,35,2
537,20140111131231,1,58,1
538,20140111131231,2,55,2
539,20140111131238,1,39,2
540,20140111131238,2,39,1
541,20140111131238,3,17,1
542,20140111131238,5,12,2
543,20140111131259,1,32,1
544,20140111131259,2,20,2
545,20140111131259,3,5,1
546,20140111131259,4,1,1
547,20140111131264,1,44,2
548,20140111131264,2,44,1
549,20140111131264,3,15,1
550,20140111131264,4,12,2
551,20140111131264,5,9,2
552,20140111131281,1,36,2
553,20140111131281,2,12,1
554,20140111131281,3,8,1
555,20140111131281,4,33,1
556,20140111131286,1,19,1
557,20140111131286,2,43,2
558,20140111131286,3,47,1
559,20140111131286,4,13,2
560,20140111131290,1,76,1
561,20140111131290,2,77,2
562,20140111131306,1,27,2
563,20140111131306,2,35,1
564,20140111131306,3,3,1
565,20140111131306,4,1,1
566,20140111131306,5,61,2
567,20140111131306,6,63,1
568,20140111131318,1,68,1
569,20140111131318,2,71,2
570,20140111131328,1,52,2
571,20140111131328,2,14,1
572,20140111131349,1,17,2
573,20140111131349,2,51,2
574,20140111131349,3,52,1
575,20140111131349,4,31,2
576,20140111131349,5,11,1
577,20140111131365,1,35,1
578,20140111131365,2,30,2
579,20140111131365,3,5,1
580,20140111131365,4,2,1
581,20140111131383,1,69,2
582,20140111131416,1,25,2
583,20140111131416,2,28,1
584,20140111131416,5,8,2
585,20140111131416,6,0,1
586,20140111131419,1,22,2
587,20140111131419,2,24,1
588,20140111131425,1,15,1
589,20140111131425,2,44,1
590,20140111131425,3,42,2
591,20140111131425,4,11,1
592,20140111131425,5,10,1
593,20140111131429,1,30,2
594,20140111131429,2,30,1
595,20140111131429,3,1,1
596,20140111131430,1,36,2
597,20140111131430,2,36,1
598,20140111131430,3,4,1
599,20140111131430,4,2,2
600,20140111131457,1,39,1
601,20140111131457,2,53,2
602,20140111131457,3,24,2
603,20140111131459,1,52,2
604,20140111131459,2,48,1
605,20140111131459,3,11,1
606,20140111131460,1,18,1
607,20140111131460,2,41,2
608,20140111131460,3,44,1
609,20140111131460,4,15,2
610,20140111131460,5,8,1
611,20140111131474,1,36,2
612,20140111131474,2,41,1
613,20140111131474,3,17,1
614,20140111131474,4,12,2
615,20140111131515,1,59,2
616,20140111131515,2,57,1
617,20140111131525,1,37,2
618,20140111131525,2,6,1
619,20140111131531,1,33,2
620,20140111131531,2,44,1
621,20140111131531,3,18,2
622,20140111131531,4,15,1
623,20140111131552,1,59,1
624,20140111131552,2,46,2
625,20140111131552,3,17,1
626,20140111131552,4,14,1
627,20140111131571,1,56,1
628,20140111131571,2,55,2
629,20140111131573,1,21,1
630,20140111131588,1,32,1
631,20140111131588,2,29,2
632,20140111131588,3,5,1
633,20140111131588,4,13,2
634,20140111131590,1,44,1
635,20140111131590,2,40,2
636,20140111131590,3,5,2
637,20140111131590,4,1,1
638,20140111131601,1,24,1
639,20140111131601,2,25,1
640,20140111131601,3,29,1
641,20140111131603,1,37,1
642,20140111131603,2,37,2
643,20140111131603,3,14,2
644,20140111131603,4,9,1
645,20140111131646,1,71,2
646,20140111131646,2,73,1
647,20140111131652,1,21,2
648,20140111131652,2,55,1
649,20140111131652,3,55,2
650,20140111131652,4,19,1
651,20140111131652,5,15,2
652,20140111131652,7,9,1
653,20140111131652,8,6,2
654,20140111131652,9,5,1
655,20140111131680,1,17,1
656,20140111131680,2,60,1
657,20140111131680,3,54,2
658,20140111131691,1,80,1
659,20140111131691,2,73,2
660,20140111131692,1,41,2
661,20140111131692,2,49,1
662,20140111131692,3,17,2
663,20140111131708,1,60,2
664,20140111131708,2,64,1
665,20140111131710,1,66,1
666,20140111131719,1,23,2
667,20140111131778,1,48,2
668,20140111131778,2,38,1
669,20140111131778,3,12,1
670,20140111131778,4,10,2
671,20140111131811,1,71,2
672,20140111131811,2,80,1
673,20140111131844,1,28,2
674,20140111131844,2,28,1
675,20140111131844,3,3,2
676,20140111131854,1,35,2
677,20140111131854,2,0,2
678,20140111131854,3,35,1
679,20140111131870,1,50,1
680,20140111131870,2,42,2
681,20140111131870,3,19,2
682,20140111131870,4,16,2
